TimePeriod,GeoType,GeoID,GeoRank,Geography,"Age-adjusted rate per 10,000","Estimated annual rate per 10,000",Number
2020,CD,410,6,South Ozone Park and Howard Beach (CD10),3.4,3.8,38
2020,CD,411,6,Bayside and Little Neck (CD11),1.0,1.3,13
2020,CD,412,6,Jamaica and Hollis (CD12),5.9,6.4,120
2020,CD,413,6,Queens Village (CD13),4.6,4.9,78
2020,CD,414,6,Rockaway and Broad Channel (CD14),5.8,5.9,51
2020,CD,501,6,St. George and Stapleton (CD1),4.7,4.7,69
2020,CD,502,6,South Beach and Willowbrook (CD2),3.6,3.9,44
2020,CD,503,6,Tottenville and Great Kills (CD3),1.9,2.0,26
2020,UHF42,101,4,Kingsbridge - Riverdale,3.4,3.7,28
2020,UHF42,102,4,Northeast Bronx,9.0,9.6,159
2020,UHF42,103,4,Fordham - Bronx Pk,13.4,13.1,266
2020,UHF42,104,4,Pelham - Throgs Neck,10.8,11.3,268
2020,UHF42,105,4,Crotona - Tremont,16.6,16.1,253
2020,UHF42,106,4,High Bridge - Morrisania,17.8,17.8,288
2020,UHF42,107,4,Hunts Point - Mott Haven,21.6,21.4,221
2020,UHF42,201,4,Greenpoint,2.9,2.4,28
2020,UHF42,202,4,Downtown - Heights - Slope,4.1,3.5,79
2020,UHF42,203,4,Bedford Stuyvesant - Crown Heights,8.0,7.9,218
2020,UHF42,204,4,East New York,8.5,8.6,130
2020,UHF42,205,4,Sunset Park,3.7,3.5,34
2020,UHF42,206,4,Borough Park,2.0,2.1,51
2020,UHF42,207,4,East Flatbush - Flatbush,6.6,6.9,167
2020,UHF42,208,4,Canarsie - Flatlands,5.0,5.2,87
2020,UHF42,209,4,Bensonhurst - Bay Ridge,1.3,1.5,25
2020,UHF42,210,4,Coney Island - Sheepshead Bay,3.5,3.9,93
2020,UHF42,211,4,Williamsburg - Bushwick,7.3,6.7,118
2020,UHF42,301,4,Washington Heights,4.7,4.8,108
2020,UHF42,302,4,Central Harlem - Morningside Heights,9.1,8.8,133
2020,UHF42,303,4,East Harlem,10.3,10.3,95
2020,UHF42,304,4,Upper West Side,2.3,2.6,51
2020,UHF42,305,4,Upper East Side,1.6,1.8,34
2020,UHF42,306,4,Chelsea - Clinton,3.1,2.9,44
2020,UHF42,307,4,Gramercy Park - Murray Hill,1.5,1.5,19
2020,UHF42,308,4,Greenwich Village - SoHo,0.6*,0.5*,4*
2020,UHF42,309,4,Union Square - Lower East Side,3.4,3.4,58
2020,UHF42,310,4,Lower Manhattan,1.9*,1.6*,9*
2020,UHF42,401,4,Long Island City - Astoria,2.5,2.3,42
2020,UHF42,402,4,West Queens,2.9,3.0,112
2020,UHF42,403,4,Flushing - Clearview,1.9,2.1,46
2020,UHF42,404,4,Bayside - Little Neck,0.9*,1.2*,9*
2020,UHF42,405,4,Ridgewood - Forest Hills,2.2,2.4,52
2020,UHF42,406,4,Fresh Meadows,2.8,2.8,23
2020,UHF42,407,4,Southwest Queens,3.6,3.7,84
2020,UHF42,408,4,Jamaica,4.6,4.9,130
2020,UHF42,409,4,Southeast Queens,4.1,4.4,79
2020,UHF42,410,4,Rockaways,4.9,4.9,51
2020,UHF42,501,4,Port Richmond,4.4,4.3,23
2020,UHF42,502,4,Stapleton - St. George,6.0,6.4,65
2020,UHF42,503,4,Willowbrook,2.6,2.7,20
2020,UHF42,504,4,South Beach - Tottenville,1.8,2.0,31
2020,Borough,1,1,Bronx,13.4,13.7,"1,514"
2020,Borough,2,1,Brooklyn,5.0,5.0,"1,066"
2020,Borough,3,1,Manhattan,4.0,4.0,575
2020,Borough,4,1,Queens,3.2,3.4,644
2020,Borough,5,1,Staten Island,3.4,3.6,140
2020,Citywide,1,0,New York City,5.5,5.7,"3,939"
2019,CD,101,6,Financial District (CD1),1.1*,0.9*,5*
2019,CD,102,6,Greenwich Village and Soho (CD2),0.7*,0.6*,5*
2019,CD,103,6,Lower East Side and Chinatown (CD3),6.3,6.6,102
2019,CD,104,6,Clinton and Chelsea (CD4),3.1,2.9,40
2019,CD,105,6,Midtown (CD5),5.6,5.1,30
2019,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),3.4,3.4,46
2019,CD,107,6,Upper West Side (CD7),2.8,2.9,54
2019,CD,108,6,Upper East Side (CD8),2.1,1.8,36
2019,CD,109,6,Morningside Heights and Hamilton Heights (CD9),6.5,5.9,56
2019,CD,110,6,Central Harlem (CD10),20.0,19.3,182
2019,CD,111,6,East Harlem (CD11),16.2,16.3,164
2019,CD,112,6,Washington Heights and Inwood (CD12),8.2,8.4,137
2019,CD,201,6,Mott Haven and Melrose (CD1),40.7,40.1,296
2019,CD,202,6,Hunts Point and Longwood (CD2),28.8,28.1,119
2019,CD,203,6,Morrisania and Crotona (CD3),28.8,28.6,192
2019,CD,204,6,Highbridge and Concourse (CD4),22.2,22.0,261
2019,CD,205,6,Fordham and University Heights (CD5),25.4,23.7,241
2019,CD,206,6,Belmont and East Tremont (CD6),26.7,25.6,165
2019,CD,207,6,Kingsbridge Heights and Bedford (CD7),21.6,20.6,236
2019,CD,208,6,Riverdale and Fieldston (CD8),7.0,7.4,63
2019,CD,209,6,Parkchester and Soundview (CD9),20.3,20.8,303
2019,CD,210,6,Throgs Neck and Co-op City (CD10),13.2,13.5,137
2019,CD,211,6,Morris Park and Bronxdale (CD11),16.2,16.4,153
2019,CD,212,6,Williamsbridge and Baychester (CD12),23.4,24.4,300
2019,CD,301,6,Greenpoint and Williamsburg (CD1),6.5,5.5,87
2019,CD,302,6,Fort Greene and Brooklyn Heights (CD2),8.0,6.9,82
2019,CD,303,6,Bedford Stuyvesant (CD3),14.3,13.9,165
2019,CD,304,6,Bushwick (CD4),10.1,9.8,85
2019,CD,305,6,East New York and Starrett City (CD5),16.7,17.0,229
2019,CD,306,6,Park Slope and Carroll Gardens (CD6),7.5,6.1,57
2019,CD,307,6,Sunset Park (CD7),7.6,6.7,71
2019,CD,308,6,Crown Heights and Prospect Heights (CD8),12.3,11.7,94
2019,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),6.8,6.9,55
2019,CD,310,6,Bay Ridge and Dyker Heights (CD10),2.8,2.8,33
2019,CD,311,6,Bensonhurst (CD11),1.7,1.8,31
2019,CD,312,6,Borough Park (CD12),2.6,2.6,35
2019,CD,313,6,Coney Island (CD13),7.8,8.7,79
2019,CD,314,6,Flatbush and Midwood (CD14),6.5,6.8,87
2019,CD,315,6,Sheepshead Bay (CD15),2.4,2.8,40
2019,CD,316,6,Brownsville (CD16),16.6,16.8,105
2019,CD,317,6,East Flatbush (CD17),8.3,8.7,110
2019,CD,318,6,Flatlands and Canarsie (CD18),8.9,9.4,143
2019,CD,401,6,Long Island City and Astoria (CD1),5.4,5.0,85
2019,CD,402,6,Woodside and Sunnyside (CD2),2.8,2.6,34
2019,CD,403,6,Jackson Heights (CD3),4.9,4.8,69
2019,CD,404,6,Elmhurst and Corona (CD4),6.8,6.8,103
2019,CD,405,6,Ridgewood and Maspeth (CD5),4.3,4.5,58
2019,CD,406,6,Rego Park and Forest Hills (CD6),4.7,5.2,51
2019,CD,407,6,Flushing and Whitestone (CD7),2.5,2.9,64
2019,CD,408,6,Hillcrest and Fresh Meadows (CD8),6.2,6.7,85
2019,CD,409,6,Kew Gardens and Woodhaven (CD9),6.8,7.0,80
2019,CD,410,6,South Ozone Park and Howard Beach (CD10),6.5,7.0,70
2019,CD,411,6,Bayside and Little Neck (CD11),2.6,2.7,27
2019,CD,412,6,Jamaica and Hollis (CD12),11.9,12.5,234
2019,CD,413,6,Queens Village (CD13),7.6,8.4,134
2019,CD,414,6,Rockaway and Broad Channel (CD14),7.3,7.5,65
2019,CD,501,6,St. George and Stapleton (CD1),9.0,9.2,136
2019,CD,502,6,South Beach and Willowbrook (CD2),7.2,7.3,85
2019,CD,503,6,Tottenville and Great Kills (CD3),3.6,3.8,50
2019,UHF42,101,4,Kingsbridge - Riverdale,7.5,7.7,61
2019,UHF42,102,4,Northeast Bronx,18.2,19.2,325
2019,UHF42,103,4,Fordham - Bronx Pk,21.9,21.1,438
2019,UHF42,104,4,Pelham - Throgs Neck,17.2,17.7,429
2019,UHF42,105,4,Crotona - Tremont,24.0,23.2,380
2019,UHF42,106,4,High Bridge - Morrisania,29.2,29.3,486
2019,UHF42,107,4,Hunts Point - Mott Haven,33.2,32.5,347
2019,UHF42,201,4,Greenpoint,4.5,3.8,45
2019,UHF42,202,4,Downtown - Heights - Slope,8.3,7.2,159
2019,UHF42,203,4,Bedford Stuyvesant - Crown Heights,12.2,11.8,324
2019,UHF42,204,4,East New York,15.1,15.2,226
2019,UHF42,205,4,Sunset Park,6.8,6.3,61
2019,UHF42,206,4,Borough Park,2.9,3.0,73
2019,UHF42,207,4,East Flatbush - Flatbush,7.5,7.9,193
2019,UHF42,208,4,Canarsie - Flatlands,8.6,9.2,157
2019,UHF42,209,4,Bensonhurst - Bay Ridge,2.6,2.8,48
2019,UHF42,210,4,Coney Island - Sheepshead Bay,4.1,4.8,116
2019,UHF42,211,4,Williamsburg - Bushwick,11.6,10.7,186
2019,UHF42,301,4,Washington Heights,7.2,7.3,168
2019,UHF42,302,4,Central Harlem - Morningside Heights,15.3,14.4,223
2019,UHF42,303,4,East Harlem,15.5,15.6,147
2019,UHF42,304,4,Upper West Side,2.7,2.8,55
2019,UHF42,305,4,Upper East Side,2.2,1.9,36
2019,UHF42,306,4,Chelsea - Clinton,4.6,4.4,69
2019,UHF42,307,4,Gramercy Park - Murray Hill,3.3,3.0,40
2019,UHF42,308,4,Greenwich Village - SoHo,0.7*,0.6*,5*
2019,UHF42,309,4,Union Square - Lower East Side,5.2,5.3,91
2019,UHF42,310,4,Lower Manhattan,5.2,3.9,23
2019,UHF42,401,4,Long Island City - Astoria,5.3,4.7,85
2019,UHF42,402,4,West Queens,5.7,5.7,215
2019,UHF42,403,4,Flushing - Clearview,2.6,3.0,65
2019,UHF42,404,4,Bayside - Little Neck,2.8,3.1,23
2019,UHF42,405,4,Ridgewood - Forest Hills,4.2,4.6,100
2019,UHF42,406,4,Fresh Meadows,6.5,6.8,56
2019,UHF42,407,4,Southwest Queens,6.3,6.6,150
2019,UHF42,408,4,Jamaica,9.4,9.9,262
2019,UHF42,409,4,Southeast Queens,7.0,7.6,138
2019,UHF42,410,4,Rockaways,6.2,6.4,65
2019,UHF42,501,4,Port Richmond,11.4,11.5,63
2019,UHF42,502,4,Stapleton - St. George,9.6,9.7,100
2019,UHF42,503,4,Willowbrook,5.0,5.3,41
2019,UHF42,504,4,South Beach - Tottenville,3.9,4.2,67
2019,Borough,1,1,Bronx,21.8,22.2,"2,518"
2019,Borough,2,1,Brooklyn,7.7,7.7,"1,628"
2019,Borough,3,1,Manhattan,6.0,6.0,885
2019,Borough,4,1,Queens,5.9,6.2,"1,184"
2019,Borough,5,1,Staten Island,6.7,6.9,274
2019,Citywide,1,0,New York City,9.0,9.2,"6,489"
2018,UHF42,101,4,Kingsbridge - Riverdale,10.2,10.5,79
2018,UHF42,102,4,Northeast Bronx,17.2,18.4,295
2018,UHF42,103,4,Fordham - Bronx Pk,27.8,25.7,507
2018,UHF42,104,4,Pelham - Throgs Neck,21.0,20.9,487
2018,UHF42,105,4,Crotona - Tremont,31.4,30.5,469
2018,UHF42,106,4,High Bridge - Morrisania,32.5,32.2,510
2018,UHF42,107,4,Hunts Point - Mott Haven,42.4,41.7,425
2018,UHF42,201,4,Greenpoint,6.3,5.0,54
2018,UHF42,202,4,Downtown - Heights - Slope,6.9,5.9,124
2018,UHF42,203,4,Bedford Stuyvesant - Crown Heights,12.6,12.0,306
2018,UHF42,204,4,East New York,12.1,11.9,164
2018,UHF42,205,4,Sunset Park,6.3,5.5,52
2018,UHF42,206,4,Borough Park,2.9,3.0,69
2018,UHF42,207,4,East Flatbush - Flatbush,8.8,8.8,206
2018,UHF42,208,4,Canarsie - Flatlands,7.9,8.3,134
2018,UHF42,209,4,Bensonhurst - Bay Ridge,3.2,3.3,54
2018,UHF42,210,4,Coney Island - Sheepshead Bay,6.1,6.9,160
2018,UHF42,211,4,Williamsburg - Bushwick,15.6,13.1,217
2018,UHF42,301,4,Washington Heights,8.7,8.6,190
2018,UHF42,302,4,Central Harlem - Morningside Heights,19.4,18.8,274
2018,UHF42,303,4,East Harlem,16.8,17.1,156
2018,UHF42,304,4,Upper West Side,4.0,4.4,81
2018,UHF42,305,4,Upper East Side,1.8,2.1,39
2018,UHF42,306,4,Chelsea - Clinton,3.1,2.8,41
2018,UHF42,307,4,Gramercy Park - Murray Hill,2.9,2.3,28
2018,UHF42,308,4,Greenwich Village - SoHo,0.8*,0.8*,6*
2018,UHF42,309,4,Union Square - Lower East Side,5.8,6.0,98
2018,UHF42,310,4,Lower Manhattan,5.1,3.9,20
2018,UHF42,401,4,Long Island City - Astoria,4.8,4.2,74
2018,UHF42,402,4,West Queens,6.2,6.2,224
2018,UHF42,403,4,Flushing - Clearview,4.6,5.0,104
2018,UHF42,404,4,Bayside - Little Neck,3.1,3.2,23
2018,UHF42,405,4,Ridgewood - Forest Hills,4.5,4.7,97
2018,UHF42,406,4,Fresh Meadows,6.6,6.6,52
2018,UHF42,407,4,Southwest Queens,6.6,6.8,149
2018,UHF42,408,4,Jamaica,7.9,8.7,216
2018,UHF42,409,4,Southeast Queens,6.8,7.4,127
2018,UHF42,410,4,Rockaways,7.8,8.3,78
2018,UHF42,501,4,Port Richmond,11.6,11.7,59
2018,UHF42,502,4,Stapleton - St. George,12.2,11.5,112
2018,UHF42,503,4,Willowbrook,7.2,7.5,55
2018,UHF42,504,4,South Beach - Tottenville,4.8,4.7,72
2018,Borough,1,1,Bronx,26.6,26.5,"2,854"
2018,Borough,2,1,Brooklyn,8.1,8.0,"1,587"
2018,Borough,3,1,Manhattan,6.9,6.9,961
2018,Borough,4,1,Queens,6.1,6.5,"1,181"
2018,Borough,5,1,Staten Island,8.3,8.2,305
2018,Citywide,1,0,New York City,10.3,10.3,"6,888"
2017,UHF42,101,4,Kingsbridge - Riverdale,7.7,8.2,65
2017,UHF42,102,4,Northeast Bronx,14.4,15.1,254
2017,UHF42,103,4,Fordham - Bronx Pk,21.6,20.9,432
2017,UHF42,104,4,Pelham - Throgs Neck,16.5,17.0,410
2017,UHF42,105,4,Crotona - Tremont,25.3,24.4,397
2017,UHF42,106,4,High Bridge - Morrisania,34.0,33.5,552
2017,UHF42,107,4,Hunts Point - Mott Haven,42.6,41.6,441
2017,UHF42,201,4,Greenpoint,2.8,2.3,27
2017,UHF42,202,4,Downtown - Heights - Slope,6.2,5.3,116
2017,UHF42,203,4,Bedford Stuyvesant - Crown Heights,10.8,10.5,288
2017,UHF42,204,4,East New York,9.1,9.0,135
2017,UHF42,205,4,Sunset Park,6.7,5.9,57
2017,UHF42,206,4,Borough Park,2.9,3.1,74
2017,UHF42,207,4,East Flatbush - Flatbush,7.2,7.5,183
2017,UHF42,208,4,Canarsie - Flatlands,6.6,6.9,118
2017,UHF42,209,4,Bensonhurst - Bay Ridge,2.0,2.2,37
2017,UHF42,210,4,Coney Island - Sheepshead Bay,6.4,7.0,167
2017,UHF42,211,4,Williamsburg - Bushwick,11.9,11.0,191
2017,UHF42,301,4,Washington Heights,8.3,8.3,191
2017,UHF42,302,4,Central Harlem - Morningside Heights,14.8,14.2,218
2017,UHF42,303,4,East Harlem,18.9,18.7,175
2017,UHF42,304,4,Upper West Side,3.1,3.3,63
2017,UHF42,305,4,Upper East Side,1.6,1.6,31
2017,UHF42,306,4,Chelsea - Clinton,2.5,2.5,38
2017,UHF42,307,4,Gramercy Park - Murray Hill,2.1,2.0,26
2017,UHF42,308,4,Greenwich Village - SoHo,1.0,0.9,7
2017,UHF42,309,4,Union Square - Lower East Side,7.0,7.0,120
2017,UHF42,310,4,Lower Manhattan,5.6,4.2,24
2017,UHF42,401,4,Long Island City - Astoria,5.4,4.9,90
2017,UHF42,402,4,West Queens,6.4,6.4,241
2017,UHF42,403,4,Flushing - Clearview,3.5,3.8,83
2017,UHF42,404,4,Bayside - Little Neck,4.6,4.9,37
2017,UHF42,405,4,Ridgewood - Forest Hills,4.4,4.6,101
2017,UHF42,406,4,Fresh Meadows,6.3,6.9,57
2017,UHF42,407,4,Southwest Queens,7.1,7.4,169
2017,UHF42,408,4,Jamaica,11.3,11.9,314
2017,UHF42,409,4,Southeast Queens,6.9,7.4,134
2017,UHF42,410,4,Rockaways,6.6,6.7,69
2017,UHF42,501,4,Port Richmond,15.1,15.3,82
2017,UHF42,502,4,Stapleton - St. George,10.1,10.5,106
2017,UHF42,503,4,Willowbrook,4.2,4.7,35
2017,UHF42,504,4,South Beach - Tottenville,3.8,4.0,64
2017,Borough,1,1,Bronx,23.0,23.2,"2,621"
2017,Borough,2,1,Brooklyn,6.8,6.8,"1,427"
2017,Borough,3,1,Manhattan,6.3,6.3,919
2017,Borough,4,1,Queens,6.6,6.9,"1,321"
2017,Borough,5,1,Staten Island,7.2,7.5,290
2017,Citywide,1,0,New York City,9.2,9.4,"6,578"
2016,UHF42,101,4,Kingsbridge - Riverdale,10.8,11.7,87
2016,UHF42,102,4,Northeast Bronx,18.0,18.6,298
2016,UHF42,103,4,Fordham - Bronx Pk,27.8,26.7,516
2016,UHF42,104,4,Pelham - Throgs Neck,22.2,22.6,538
2016,UHF42,105,4,Crotona - Tremont,32.2,30.4,480
2016,UHF42,106,4,High Bridge - Morrisania,40.0,39.4,633
2016,UHF42,107,4,Hunts Point - Mott Haven,50.8,48.9,513
2016,UHF42,201,4,Greenpoint,4.6,3.3,37
2016,UHF42,202,4,Downtown - Heights - Slope,8.7,7.0,149
2016,UHF42,203,4,Bedford Stuyvesant - Crown Heights,14.3,13.9,354
2016,UHF42,204,4,East New York,12.1,12.0,164
2016,UHF42,205,4,Sunset Park,6.1,5.2,53
2016,UHF42,206,4,Borough Park,4.6,4.7,115
2016,UHF42,207,4,East Flatbush - Flatbush,10.2,10.5,249
2016,UHF42,208,4,Canarsie - Flatlands,8.1,8.6,138
2016,UHF42,209,4,Bensonhurst - Bay Ridge,2.8,3.0,51
2016,UHF42,210,4,Coney Island - Sheepshead Bay,7.6,8.0,183
2016,UHF42,211,4,Williamsburg - Bushwick,14.0,12.6,208
2016,UHF42,301,4,Washington Heights,9.8,9.6,211
2016,UHF42,302,4,Central Harlem - Morningside Heights,20.3,19.3,272
2016,UHF42,303,4,East Harlem,26.4,26.1,233
2016,UHF42,304,4,Upper West Side,3.5,3.6,67
2016,UHF42,305,4,Upper East Side,1.8,1.9,36
2016,UHF42,306,4,Chelsea - Clinton,3.8,3.3,48
2016,UHF42,307,4,Gramercy Park - Murray Hill,1.9,1.8,22
2016,UHF42,308,4,Greenwich Village - SoHo,1.3*,1.2*,**
2016,UHF42,309,4,Union Square - Lower East Side,7.5,7.1,124
2016,UHF42,310,4,Lower Manhattan,5.6,3.9,21
2016,UHF42,401,4,Long Island City - Astoria,7.0,6.3,114
2016,UHF42,402,4,West Queens,6.1,5.9,225
2016,UHF42,403,4,Flushing - Clearview,4.5,4.9,107
2016,UHF42,404,4,Bayside - Little Neck,4.1,4.3,32
2016,UHF42,405,4,Ridgewood - Forest Hills,4.2,4.4,89
2016,UHF42,406,4,Fresh Meadows,6.5,6.9,55
2016,UHF42,407,4,Southwest Queens,7.4,7.6,172
2016,UHF42,408,4,Jamaica,11.5,11.9,297
2016,UHF42,409,4,Southeast Queens,7.4,8.1,139
2016,UHF42,410,4,Rockaways,8.2,8.6,77
2016,UHF42,501,4,Port Richmond,26.4,26.8,133
2016,UHF42,502,4,Stapleton - St. George,14.8,14.5,142
2016,UHF42,503,4,Willowbrook,7.0,7.4,52
2016,UHF42,504,4,South Beach - Tottenville,5.6,5.8,89
2016,Borough,1,1,Bronx,27.9,27.9,"3,038"
2016,Borough,2,1,Brooklyn,8.6,8.5,"1,719"
2016,Borough,3,1,Manhattan,7.6,7.4,"1,045"
2016,Borough,4,1,Queens,6.8,7.0,"1,307"
2016,Borough,5,1,Staten Island,11.0,11.2,416
2016,Citywide,1,0,New York City,11.1,11.1,"7,525"
2015,Citywide,1,0,New York City,†,†,†
2014,UHF42,101,4,Kingsbridge - Riverdale,17.0,18.6,138
2014,UHF42,102,4,Northeast Bronx,30.1,32.2,510
2014,UHF42,103,4,Fordham - Bronx Pk,48.3,44.8,849
2014,UHF42,104,4,Pelham - Throgs Neck,33.2,33.8,794
2014,UHF42,105,4,Crotona - Tremont,52.6,48.7,751
2014,UHF42,106,4,High Bridge - Morrisania,56.4,54.7,860
2014,UHF42,107,4,Hunts Point - Mott Haven,75.6,71.9,736
2014,UHF42,201,4,Greenpoint,13.7,10.0,108
2014,UHF42,202,4,Downtown - Heights - Slope,17.9,14.7,303
2014,UHF42,203,4,Bedford Stuyvesant - Crown Heights,37.4,35.7,912
2014,UHF42,204,4,East New York,42.7,41.5,568
2014,UHF42,205,4,Sunset Park,20.5,17.2,173
2014,UHF42,206,4,Borough Park,9.1,9.4,229
2014,UHF42,207,4,East Flatbush - Flatbush,20.6,20.9,493
2014,UHF42,208,4,Canarsie - Flatlands,18.9,20.4,329
2014,UHF42,209,4,Bensonhurst - Bay Ridge,7.1,7.8,132
2014,UHF42,210,4,Coney Island - Sheepshead Bay,16.2,18.2,412
2014,UHF42,211,4,Williamsburg - Bushwick,45.0,36.8,608
2014,UHF42,301,4,Washington Heights,18.0,17.5,382
2014,UHF42,302,4,Central Harlem - Morningside Heights,42.6,39.0,551
2014,UHF42,303,4,East Harlem,46.0,44.5,396
2014,UHF42,304,4,Upper West Side,10.6,12.0,225
2014,UHF42,305,4,Upper East Side,4.9,5.3,99
2014,UHF42,306,4,Chelsea - Clinton,11.7,10.4,147
2014,UHF42,307,4,Gramercy Park - Murray Hill,7.6,6.7,80
2014,UHF42,308,4,Greenwich Village - SoHo,3.7,3.3,24
2014,UHF42,309,4,Union Square - Lower East Side,19.9,19.2,332
2014,UHF42,310,4,Lower Manhattan,10.7,7.8,41
2014,UHF42,401,4,Long Island City - Astoria,20.1,17.4,314
2014,UHF42,402,4,West Queens,13.3,12.6,473
2014,UHF42,403,4,Flushing - Clearview,7.9,9.1,196
2014,UHF42,404,4,Bayside - Little Neck,7.2,8.3,61
2014,UHF42,405,4,Ridgewood - Forest Hills,10.3,11.2,228
2014,UHF42,406,4,Fresh Meadows,10.9,11.8,93
2014,UHF42,407,4,Southwest Queens,13.0,12.7,286
2014,UHF42,408,4,Jamaica,16.0,16.7,412
2014,UHF42,409,4,Southeast Queens,10.2,11.1,187
2014,UHF42,410,4,Rockaways,18.4,20.2,181
2014,UHF42,501,4,Port Richmond,27.8,28.5,139
2014,UHF42,502,4,Stapleton - St. George,22.1,23.3,224
2014,UHF42,503,4,Willowbrook,10.5,11.3,79
2014,UHF42,504,4,South Beach - Tottenville,9.7,10.2,157
2014,Borough,1,1,Bronx,44.8,44.4,"4,764"
2014,Borough,2,1,Brooklyn,22.1,21.8,"4,385"
2014,Borough,3,1,Manhattan,17.4,16.9,"2,359"
2014,Borough,4,1,Queens,12.9,13.5,"2,483"
2014,Borough,5,1,Staten Island,15.7,16.6,612
2014,Citywide,1,0,New York City,21.7,21.8,"14,603"
2013,UHF42,101,4,Kingsbridge - Riverdale,17.7,20.6,153
2013,UHF42,102,4,Northeast Bronx,26.7,28.8,451
2013,UHF42,103,4,Fordham - Bronx Pk,49.9,46.6,872
2013,UHF42,104,4,Pelham - Throgs Neck,30.3,30.9,719
2013,UHF42,105,4,Crotona - Tremont,56.8,51.5,783
2013,UHF42,106,4,High Bridge - Morrisania,59.2,56.7,878
2013,UHF42,107,4,Hunts Point - Mott Haven,75.8,71.6,721
2013,UHF42,201,4,Greenpoint,19.3,14.4,152
2013,UHF42,202,4,Downtown - Heights - Slope,22.1,18.2,370
2013,UHF42,203,4,Bedford Stuyvesant - Crown Heights,42.3,40.0,"1,016"
2013,UHF42,204,4,East New York,44.1,42.7,583
2013,UHF42,205,4,Sunset Park,25.5,20.9,207
2013,UHF42,206,4,Borough Park,8.8,9.3,223
2013,UHF42,207,4,East Flatbush - Flatbush,24.4,24.7,579
2013,UHF42,208,4,Canarsie - Flatlands,17.9,19.2,309
2013,UHF42,209,4,Bensonhurst - Bay Ridge,8.9,10.0,166
2013,UHF42,210,4,Coney Island - Sheepshead Bay,17.4,20.6,463
2013,UHF42,211,4,Williamsburg - Bushwick,51.1,42.6,700
2013,UHF42,301,4,Washington Heights,18.8,18.2,396
2013,UHF42,302,4,Central Harlem - Morningside Heights,42.0,38.4,543
2013,UHF42,303,4,East Harlem,56.7,55.1,489
2013,UHF42,304,4,Upper West Side,11.5,12.7,238
2013,UHF42,305,4,Upper East Side,5.4,5.9,111
2013,UHF42,306,4,Chelsea - Clinton,13.5,11.8,166
2013,UHF42,307,4,Gramercy Park - Murray Hill,7.3,6.5,78
2013,UHF42,308,4,Greenwich Village - SoHo,3.3,2.9,21
2013,UHF42,309,4,Union Square - Lower East Side,22.3,21.4,368
2013,UHF42,310,4,Lower Manhattan,10.0,6.6,34
2013,UHF42,401,4,Long Island City - Astoria,17.9,15.5,278
2013,UHF42,402,4,West Queens,13.1,12.3,457
2013,UHF42,403,4,Flushing - Clearview,7.1,8.3,176
2013,UHF42,404,4,Bayside - Little Neck,5.5,6.3,46
2013,UHF42,405,4,Ridgewood - Forest Hills,11.6,12.5,255
2013,UHF42,406,4,Fresh Meadows,10.6,11.6,91
2013,UHF42,407,4,Southwest Queens,14.7,14.6,324
2013,UHF42,408,4,Jamaica,15.6,16.3,397
2013,UHF42,409,4,Southeast Queens,11.6,12.4,209
