TimePeriod,GeoType,GeoID,GeoRank,Geography,"Estimated annual rate per 10,000",Number
2023,CD,101,6,Financial District (CD1),16.6*,8*
2023,CD,103,6,Lower East Side and Chinatown (CD3),19.5,31
2023,CD,104,6,Clinton and Chelsea (CD4),5.3*,4*
2023,CD,105,6,Midtown (CD5),16.3*,4*
2023,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),11.3*,8*
2023,CD,107,6,Upper West Side (CD7),8.2,17
2023,CD,108,6,Upper East Side (CD8),5.6,12
2023,CD,109,6,Morningside Heights and Hamilton Heights (CD9),31.7,37
2023,CD,110,6,Central Harlem (CD10),57.7,90
2023,CD,111,6,East Harlem (CD11),56.2,94
2023,CD,112,6,Washington Heights and Inwood (CD12),37.2,81
2023,CD,201,6,Mott Haven and Melrose (CD1),49.2,88
2023,CD,202,6,Hunts Point and Longwood (CD2),45.3,45
2023,CD,203,6,Morrisania and Crotona (CD3),42.6,74
2023,CD,204,6,Highbridge and Concourse (CD4),41.8,111
2023,CD,205,6,Fordham and University Heights (CD5),28.4,68
2023,CD,206,6,Belmont and East Tremont (CD6),59.6,97
2023,CD,207,6,Kingsbridge Heights and Bedford (CD7),42.0,101
2023,CD,208,6,Riverdale and Fieldston (CD8),34.6,46
2023,CD,209,6,Parkchester and Soundview (CD9),44.6,133
2023,CD,210,6,Throgs Neck and Co-op City (CD10),29.5,49
2023,CD,211,6,Morris Park and Bronxdale (CD11),39.6,69
2023,CD,212,6,Williamsbridge and Baychester (CD12),39.7,100
2023,CD,301,6,Greenpoint and Williamsburg (CD1),7.1,22
2023,CD,302,6,Fort Greene and Brooklyn Heights (CD2),25.4,29
2023,CD,303,6,Bedford Stuyvesant (CD3),22.6,50
2023,CD,304,6,Bushwick (CD4),14.0,24
2023,CD,305,6,East New York and Starrett City (CD5),38.4,116
2023,CD,306,6,Park Slope and Carroll Gardens (CD6),23.9,29
2023,CD,307,6,Sunset Park (CD7),8.8,16
2023,CD,308,6,Crown Heights and Prospect Heights (CD8),23.8,27
2023,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),16.8,22
2023,CD,310,6,Bay Ridge and Dyker Heights (CD10),7.4,15
2023,CD,311,6,Bensonhurst (CD11),3.4*,10*
2023,CD,312,6,Borough Park (CD12),2.9,14
2023,CD,313,6,Coney Island (CD13),8.7,12
2023,CD,314,6,Flatbush and Midwood (CD14),12.9,35
2023,CD,315,6,Sheepshead Bay (CD15),4.1,11
2023,CD,316,6,Brownsville (CD16),59.9,85
2023,CD,317,6,East Flatbush (CD17),32.5,61
2023,CD,318,6,Flatlands and Canarsie (CD18),11.5,34
2023,CD,401,6,Long Island City and Astoria (CD1),12.5,26
2023,CD,402,6,Woodside and Sunnyside (CD2),9.9,17
2023,CD,403,6,Jackson Heights (CD3),14.5,36
2023,CD,404,6,Elmhurst and Corona (CD4),16.0,41
2023,CD,405,6,Ridgewood and Maspeth (CD5),11.0,27
2023,CD,406,6,Rego Park and Forest Hills (CD6),7.8*,9*
2023,CD,407,6,Flushing and Whitestone (CD7),15.6,47
2023,CD,408,6,Hillcrest and Fresh Meadows (CD8),14.0,29
2023,CD,409,6,Kew Gardens and Woodhaven (CD9),11.9,28
2023,CD,410,6,South Ozone Park and Howard Beach (CD10),10.5,20
2023,CD,411,6,Bayside and Little Neck (CD11),7.3,12
2023,CD,412,6,Jamaica and Hollis (CD12),22.2,73
2023,CD,413,6,Queens Village (CD13),18.9,48
2023,CD,414,6,Rockaway and Broad Channel (CD14),13.8,26
2023,CD,501,6,St. George and Stapleton (CD1),13.7,45
2023,CD,502,6,South Beach and Willowbrook (CD2),7.6,16
2023,CD,503,6,Tottenville and Great Kills (CD3),3.2*,8*
2023,UHF42,101,4,Kingsbridge - Riverdale,32.1,37
2023,UHF42,102,4,Northeast Bronx,37.2,112
2023,UHF42,103,4,Fordham - Bronx Pk,43.7,191
2023,UHF42,104,4,Pelham - Throgs Neck,37.6,178
2023,UHF42,105,4,Crotona - Tremont,41.1,165
2023,UHF42,106,4,High Bridge - Morrisania,46.2,179
2023,UHF42,107,4,Hunts Point - Mott Haven,44.0,119
2023,UHF42,201,4,Greenpoint,4.6*,10*
2023,UHF42,202,4,Downtown - Heights - Slope,20.4,60
2023,UHF42,203,4,Bedford Stuyvesant - Crown Heights,32.1,154
2023,UHF42,204,4,East New York,33.3,116
2023,UHF42,205,4,Sunset Park,9.7,17
2023,UHF42,206,4,Borough Park,4.0,27
2023,UHF42,207,4,East Flatbush - Flatbush,20.7,84
2023,UHF42,208,4,Canarsie - Flatlands,14.2,42
2023,UHF42,209,4,Bensonhurst - Bay Ridge,5.9,17
2023,UHF42,210,4,Coney Island - Sheepshead Bay,6.0,25
2023,UHF42,211,4,Williamsburg - Bushwick,16.6,60
2023,UHF42,301,4,Washington Heights,34.0,101
2023,UHF42,302,4,Central Harlem - Morningside Heights,53.3,124
2023,UHF42,303,4,East Harlem,48.7,75
2023,UHF42,304,4,Upper West Side,8.1,18
2023,UHF42,305,4,Upper East Side,5.9,12
2023,UHF42,306,4,Chelsea - Clinton,8.7*,7*
2023,UHF42,307,4,Gramercy Park - Murray Hill,12.3*,8*
2023,UHF42,308,4,Greenwich Village - SoHo,5.1*,3*
2023,UHF42,309,4,Union Square - Lower East Side,19.6,30
2023,UHF42,310,4,Lower Manhattan,15.0*,7*
2023,UHF42,401,4,Long Island City - Astoria,13.3,27
2023,UHF42,402,4,West Queens,16.7,103
2023,UHF42,403,4,Flushing - Clearview,16.9,49
2023,UHF42,404,4,Bayside - Little Neck,5.6*,7*
2023,UHF42,405,4,Ridgewood - Forest Hills,7.7,26
2023,UHF42,406,4,Fresh Meadows,15.6,22
2023,UHF42,407,4,Southwest Queens,10.8,48
2023,UHF42,408,4,Jamaica,19.0,85
2023,UHF42,409,4,Southeast Queens,16.3,46
2023,UHF42,410,4,Rockaways,11.5,26
2023,UHF42,501,4,Port Richmond,14.4,20
2023,UHF42,502,4,Stapleton - St. George,15.8,31
2023,UHF42,503,4,Willowbrook,3.5*,5*
2023,UHF42,504,4,South Beach - Tottenville,4.5,14
2023,Borough,1,1,Bronx,41.6,986
2023,Borough,2,1,Brooklyn,15.7,619
2023,Borough,3,1,Manhattan,25.5,391
2023,Borough,4,1,Queens,15.8,492
2023,Borough,5,1,Staten Island,8.9,70
2023,Citywide,1,0,New York City,21.8,"2,558"
2022,CD,101,6,Financial District (CD1),10.2*,5*
2022,CD,102,6,Greenwich Village and Soho (CD2),7.2*,4*
2022,CD,103,6,Lower East Side and Chinatown (CD3),9.3,15
2022,CD,104,6,Clinton and Chelsea (CD4),14.2,11
2022,CD,105,6,Midtown (CD5),12.0*,3*
2022,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),4.2*,3*
2022,CD,107,6,Upper West Side (CD7),8.1,17
2022,CD,108,6,Upper East Side (CD8),10.0,22
2022,CD,109,6,Morningside Heights and Hamilton Heights (CD9),26.7,32
2022,CD,110,6,Central Harlem (CD10),55.3,89
2022,CD,111,6,East Harlem (CD11),39.6,68
2022,CD,112,6,Washington Heights and Inwood (CD12),31.9,71
2022,CD,201,6,Mott Haven and Melrose (CD1),47.2,87
2022,CD,202,6,Hunts Point and Longwood (CD2),41.1,42
2022,CD,203,6,Morrisania and Crotona (CD3),44.2,79
2022,CD,204,6,Highbridge and Concourse (CD4),30.0,82
2022,CD,205,6,Fordham and University Heights (CD5),28.8,71
2022,CD,206,6,Belmont and East Tremont (CD6),54.3,91
2022,CD,207,6,Kingsbridge Heights and Bedford (CD7),33.7,83
2022,CD,208,6,Riverdale and Fieldston (CD8),23.6,32
2022,CD,209,6,Parkchester and Soundview (CD9),38.5,118
2022,CD,210,6,Throgs Neck and Co-op City (CD10),21.8,37
2022,CD,211,6,Morris Park and Bronxdale (CD11),45.5,81
2022,CD,212,6,Williamsbridge and Baychester (CD12),47.4,123
2022,CD,301,6,Greenpoint and Williamsburg (CD1),8.2,26
2022,CD,302,6,Fort Greene and Brooklyn Heights (CD2),24.0,28
2022,CD,303,6,Bedford Stuyvesant (CD3),26.7,61
2022,CD,304,6,Bushwick (CD4),15.3,27
2022,CD,305,6,East New York and Starrett City (CD5),39.7,124
2022,CD,306,6,Park Slope and Carroll Gardens (CD6),21.9,27
2022,CD,307,6,Sunset Park (CD7),7.5,14
2022,CD,308,6,Crown Heights and Prospect Heights (CD8),20.4,24
2022,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),17.0,23
2022,CD,310,6,Bay Ridge and Dyker Heights (CD10),3.9*,8*
2022,CD,311,6,Bensonhurst (CD11),4.6,14
2022,CD,312,6,Borough Park (CD12),2.1*,10*
2022,CD,313,6,Coney Island (CD13),12.8,18
2022,CD,314,6,Flatbush and Midwood (CD14),12.9,36
2022,CD,315,6,Sheepshead Bay (CD15),2.2*,6*
2022,CD,316,6,Brownsville (CD16),55.6,82
2022,CD,317,6,East Flatbush (CD17),20.5,40
2022,CD,318,6,Flatlands and Canarsie (CD18),18.4,56
2022,CD,401,6,Long Island City and Astoria (CD1),5.2,11
2022,CD,402,6,Woodside and Sunnyside (CD2),8.0,14
2022,CD,403,6,Jackson Heights (CD3),11.0,28
2022,CD,404,6,Elmhurst and Corona (CD4),10.7,28
2022,CD,405,6,Ridgewood and Maspeth (CD5),9.6,24
2022,CD,406,6,Rego Park and Forest Hills (CD6),4.2*,5*
2022,CD,407,6,Flushing and Whitestone (CD7),12.4,38
2022,CD,408,6,Hillcrest and Fresh Meadows (CD8),9.4,20
2022,CD,409,6,Kew Gardens and Woodhaven (CD9),12.1,29
2022,CD,410,6,South Ozone Park and Howard Beach (CD10),10.8,21
2022,CD,411,6,Bayside and Little Neck (CD11),6.5,11
2022,CD,412,6,Jamaica and Hollis (CD12),18.7,63
2022,CD,413,6,Queens Village (CD13),19.6,51
2022,CD,414,6,Rockaway and Broad Channel (CD14),10.4,20
2022,CD,501,6,St. George and Stapleton (CD1),20.3,67
2022,CD,502,6,South Beach and Willowbrook (CD2),7.1,15
2022,CD,503,6,Tottenville and Great Kills (CD3),5.2,13
2022,UHF42,101,4,Kingsbridge - Riverdale,20.4,24
2022,UHF42,102,4,Northeast Bronx,40.0,124
2022,UHF42,103,4,Fordham - Bronx Pk,39.2,176
2022,UHF42,104,4,Pelham - Throgs Neck,34.9,169
2022,UHF42,105,4,Crotona - Tremont,37.6,155
2022,UHF42,106,4,High Bridge - Morrisania,41.4,165
2022,UHF42,107,4,Hunts Point - Mott Haven,40.6,113
2022,UHF42,201,4,Greenpoint,7.3,16
2022,UHF42,202,4,Downtown - Heights - Slope,19.4,58
2022,UHF42,203,4,Bedford Stuyvesant - Crown Heights,27.9,138
2022,UHF42,204,4,East New York,34.7,125
2022,UHF42,205,4,Sunset Park,7.3,13
2022,UHF42,206,4,Borough Park,3.5,24
2022,UHF42,207,4,East Flatbush - Flatbush,20.8,87
2022,UHF42,208,4,Canarsie - Flatlands,18.9,58
2022,UHF42,209,4,Bensonhurst - Bay Ridge,5.5,16
2022,UHF42,210,4,Coney Island - Sheepshead Bay,6.2,26
2022,UHF42,211,4,Williamsburg - Bushwick,17.0,63
2022,UHF42,301,4,Washington Heights,30.2,92
2022,UHF42,302,4,Central Harlem - Morningside Heights,45.2,108
2022,UHF42,303,4,East Harlem,38.0,60
2022,UHF42,304,4,Upper West Side,7.6,17
2022,UHF42,305,4,Upper East Side,10.6,22
2022,UHF42,306,4,Chelsea - Clinton,15.8,13
2022,UHF42,307,4,Gramercy Park - Murray Hill,3.0*,2*
2022,UHF42,308,4,Greenwich Village - SoHo,11.8*,7*
2022,UHF42,309,4,Union Square - Lower East Side,9.7,15
2022,UHF42,310,4,Lower Manhattan,8.5*,4*
2022,UHF42,401,4,Long Island City - Astoria,5.8,12
2022,UHF42,402,4,West Queens,11.6,73
2022,UHF42,403,4,Flushing - Clearview,12.5,37
2022,UHF42,404,4,Bayside - Little Neck,6.2*,8*
2022,UHF42,405,4,Ridgewood - Forest Hills,7.2,25
2022,UHF42,406,4,Fresh Meadows,12.5,18
2022,UHF42,407,4,Southwest Queens,11.0,50
2022,UHF42,408,4,Jamaica,15.3,70
2022,UHF42,409,4,Southeast Queens,17.2,50
2022,UHF42,410,4,Rockaways,8.6,20
2022,UHF42,501,4,Port Richmond,23.7,33
2022,UHF42,502,4,Stapleton - St. George,16.8,33
2022,UHF42,503,4,Willowbrook,9.1,13
2022,UHF42,504,4,South Beach - Tottenville,5.1,16
2022,Borough,1,1,Bronx,38.5,936
2022,Borough,2,1,Brooklyn,15.5,627
2022,Borough,3,1,Manhattan,22.0,343
2022,Borough,4,1,Queens,12.1,386
2022,Borough,5,1,Staten Island,12.0,95
2022,Citywide,1,0,New York City,19.9,"2,387"
2021,CD,101,6,Financial District (CD1),8.3*,4*
2021,CD,102,6,Greenwich Village and Soho (CD2),3.6*,2*
2021,CD,103,6,Lower East Side and Chinatown (CD3),7.9,13
2021,CD,104,6,Clinton and Chelsea (CD4),11.5*,9*
2021,CD,105,6,Midtown (CD5),4.0*,1*
2021,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),7.0*,5*
2021,CD,107,6,Upper West Side (CD7),6.2,13
2021,CD,108,6,Upper East Side (CD8),3.7*,8*
2021,CD,109,6,Morningside Heights and Hamilton Heights (CD9),24.7,31
2021,CD,110,6,Central Harlem (CD10),34.1,56
2021,CD,111,6,East Harlem (CD11),30.7,55
2021,CD,112,6,Washington Heights and Inwood (CD12),17.6,42
2021,CD,201,6,Mott Haven and Melrose (CD1),34.5,66
2021,CD,202,6,Hunts Point and Longwood (CD2),20.7,22
2021,CD,203,6,Morrisania and Crotona (CD3),28.1,52
2021,CD,204,6,Highbridge and Concourse (CD4),19.7,56
2021,CD,205,6,Fordham and University Heights (CD5),14.8,38
2021,CD,206,6,Belmont and East Tremont (CD6),36.2,63
2021,CD,207,6,Kingsbridge Heights and Bedford (CD7),23.9,61
2021,CD,208,6,Riverdale and Fieldston (CD8),18.1,25
2021,CD,209,6,Parkchester and Soundview (CD9),28.5,90
2021,CD,210,6,Throgs Neck and Co-op City (CD10),23.3,40
2021,CD,211,6,Morris Park and Bronxdale (CD11),17.1,31
2021,CD,212,6,Williamsbridge and Baychester (CD12),35.0,92
2021,CD,301,6,Greenpoint and Williamsburg (CD1),7.2,23
2021,CD,302,6,Fort Greene and Brooklyn Heights (CD2),17.7,21
2021,CD,303,6,Bedford Stuyvesant (CD3),18.2,43
2021,CD,304,6,Bushwick (CD4),13.8,25
2021,CD,305,6,East New York and Starrett City (CD5),19.8,64
2021,CD,306,6,Park Slope and Carroll Gardens (CD6),10.4,13
2021,CD,307,6,Sunset Park (CD7),4.2*,8*
2021,CD,308,6,Crown Heights and Prospect Heights (CD8),23.0,28
2021,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),15.8,22
2021,CD,310,6,Bay Ridge and Dyker Heights (CD10),1.5*,3*
2021,CD,311,6,Bensonhurst (CD11),2.3*,7*
2021,CD,312,6,Borough Park (CD12),2.7,13
2021,CD,313,6,Coney Island (CD13),4.2*,6*
2021,CD,314,6,Flatbush and Midwood (CD14),8.8,25
2021,CD,315,6,Sheepshead Bay (CD15),2.2*,6*
2021,CD,316,6,Brownsville (CD16),28.0,43
2021,CD,317,6,East Flatbush (CD17),20.1,41
2021,CD,318,6,Flatlands and Canarsie (CD18),12.8,40
2021,CD,401,6,Long Island City and Astoria (CD1),4.1*,9*
2021,CD,402,6,Woodside and Sunnyside (CD2),4.5*,8*
2021,CD,403,6,Jackson Heights (CD3),10.0,26
2021,CD,404,6,Elmhurst and Corona (CD4),7.5,20
2021,CD,405,6,Ridgewood and Maspeth (CD5),5.5,14
2021,CD,406,6,Rego Park and Forest Hills (CD6),5.8*,7*
2021,CD,407,6,Flushing and Whitestone (CD7),3.2*,10*
2021,CD,408,6,Hillcrest and Fresh Meadows (CD8),2.8*,6*
2021,CD,409,6,Kew Gardens and Woodhaven (CD9),9.4,23
2021,CD,410,6,South Ozone Park and Howard Beach (CD10),10.1,20
2021,CD,411,6,Bayside and Little Neck (CD11),4.7*,8*
2021,CD,412,6,Jamaica and Hollis (CD12),14.0,49
2021,CD,413,6,Queens Village (CD13),8.2,22
2021,CD,414,6,Rockaway and Broad Channel (CD14),8.0,16
2021,CD,501,6,St. George and Stapleton (CD1),12.2,40
2021,CD,502,6,South Beach and Willowbrook (CD2),2.9*,6*
2021,CD,503,6,Tottenville and Great Kills (CD3),2.0*,5*
2021,UHF42,101,4,Kingsbridge - Riverdale,14.0,17
2021,UHF42,102,4,Northeast Bronx,27.6,89
2021,UHF42,103,4,Fordham - Bronx Pk,26.1,124
2021,UHF42,104,4,Pelham - Throgs Neck,26.6,132
2021,UHF42,105,4,Crotona - Tremont,22.3,94
2021,UHF42,106,4,High Bridge - Morrisania,23.1,95
2021,UHF42,107,4,Hunts Point - Mott Haven,30.6,85
2021,UHF42,201,4,Greenpoint,6.1,13
2021,UHF42,202,4,Downtown - Heights - Slope,13.3,40
2021,UHF42,203,4,Bedford Stuyvesant - Crown Heights,20.6,102
2021,UHF42,204,4,East New York,18.6,69
2021,UHF42,205,4,Sunset Park,3.8*,7*
2021,UHF42,206,4,Borough Park,3.3,23
2021,UHF42,207,4,East Flatbush - Flatbush,16.5,71
2021,UHF42,208,4,Canarsie - Flatlands,11.9,38
2021,UHF42,209,4,Bensonhurst - Bay Ridge,0.7*,2*
2021,UHF42,210,4,Coney Island - Sheepshead Bay,3.0,13
2021,UHF42,211,4,Williamsburg - Bushwick,13.9,53
2021,UHF42,301,4,Washington Heights,17.2,57
2021,UHF42,302,4,Central Harlem - Morningside Heights,34.6,84
2021,UHF42,303,4,East Harlem,25.6,42
2021,UHF42,304,4,Upper West Side,5.9,13
2021,UHF42,305,4,Upper East Side,3.9*,8*
2021,UHF42,306,4,Chelsea - Clinton,11.0*,9*
2021,UHF42,307,4,Gramercy Park - Murray Hill,6.1*,4*
2021,UHF42,308,4,Greenwich Village - SoHo,3.4*,2*
2021,UHF42,309,4,Union Square - Lower East Side,8.2,13
2021,UHF42,310,4,Lower Manhattan,12.9*,6*
2021,UHF42,401,4,Long Island City - Astoria,5.3,11
2021,UHF42,402,4,West Queens,8.4,54
2021,UHF42,403,4,Flushing - Clearview,4.0,12
2021,UHF42,404,4,Bayside - Little Neck,3.8*,5*
2021,UHF42,405,4,Ridgewood - Forest Hills,5.4,19
2021,UHF42,406,4,Fresh Meadows,2.8*,4*
2021,UHF42,407,4,Southwest Queens,9.2,43
2021,UHF42,408,4,Jamaica,10.1,48
2021,UHF42,409,4,Southeast Queens,8.6,26
2021,UHF42,410,4,Rockaways,6.8,16
2021,UHF42,501,4,Port Richmond,16.4,23
2021,UHF42,502,4,Stapleton - St. George,8.7,17
2021,UHF42,503,4,Willowbrook,2.1*,3*
2021,UHF42,504,4,South Beach - Tottenville,2.6*,8*
2021,Borough,1,1,Bronx,25.7,645
2021,Borough,2,1,Brooklyn,10.5,433
2021,Borough,3,1,Manhattan,15.2,242
2021,Borough,4,1,Queens,7.7,251
2021,Borough,5,1,Staten Island,6.6,52
2021,Citywide,1,0,New York City,13.2,"1,623"
2020,CD,102,6,Greenwich Village and Soho (CD2),1.8*,1*
2020,CD,103,6,Lower East Side and Chinatown (CD3),3.6*,6*
2020,CD,104,6,Clinton and Chelsea (CD4),7.4*,6*
2020,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),6.8*,5*
2020,CD,107,6,Upper West Side (CD7),3.2*,7*
2020,CD,108,6,Upper East Side (CD8),0.9*,2*
2020,CD,109,6,Morningside Heights and Hamilton Heights (CD9),16.1,21
2020,CD,110,6,Central Harlem (CD10),20.0,34
2020,CD,111,6,East Harlem (CD11),20.5,38
2020,CD,112,6,Washington Heights and Inwood (CD12),10.1,25
2020,CD,201,6,Mott Haven and Melrose (CD1),27.1,54
2020,CD,202,6,Hunts Point and Longwood (CD2),23.4,26
2020,CD,203,6,Morrisania and Crotona (CD3),15.1,29
2020,CD,204,6,Highbridge and Concourse (CD4),14.6,43
2020,CD,205,6,Fordham and University Heights (CD5),15.4,41
2020,CD,206,6,Belmont and East Tremont (CD6),17.7,32
2020,CD,207,6,Kingsbridge Heights and Bedford (CD7),10.9,29
2020,CD,208,6,Riverdale and Fieldston (CD8),14.6,21
2020,CD,209,6,Parkchester and Soundview (CD9),14.9,49
2020,CD,210,6,Throgs Neck and Co-op City (CD10),5.0*,9*
2020,CD,211,6,Morris Park and Bronxdale (CD11),10.6,20
2020,CD,212,6,Williamsbridge and Baychester (CD12),19.4,53
2020,CD,301,6,Greenpoint and Williamsburg (CD1),3.0*,10*
2020,CD,302,6,Fort Greene and Brooklyn Heights (CD2),9.0,11
2020,CD,303,6,Bedford Stuyvesant (CD3),9.8,24
2020,CD,304,6,Bushwick (CD4),5.3*,10*
2020,CD,305,6,East New York and Starrett City (CD5),24.1,81
2020,CD,306,6,Park Slope and Carroll Gardens (CD6),3.1*,4*
2020,CD,307,6,Sunset Park (CD7),3.6*,7*
2020,CD,308,6,Crown Heights and Prospect Heights (CD8),11.8,15
2020,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),8.3,12
2020,CD,310,6,Bay Ridge and Dyker Heights (CD10),2.4*,5*
2020,CD,311,6,Bensonhurst (CD11),1.3*,4*
2020,CD,312,6,Borough Park (CD12),1.4*,7*
2020,CD,313,6,Coney Island (CD13),11.6,17
2020,CD,314,6,Flatbush and Midwood (CD14),4.4,13
2020,CD,315,6,Sheepshead Bay (CD15),0.7*,2*
2020,CD,316,6,Brownsville (CD16),26.2,42
2020,CD,317,6,East Flatbush (CD17),19.2,41
2020,CD,318,6,Flatlands and Canarsie (CD18),5.5,18
2020,CD,401,6,Long Island City and Astoria (CD1),3.1*,7*
2020,CD,402,6,Woodside and Sunnyside (CD2),1.1*,2*
2020,CD,403,6,Jackson Heights (CD3),3.3*,9*
2020,CD,404,6,Elmhurst and Corona (CD4),4.0,11
2020,CD,405,6,Ridgewood and Maspeth (CD5),3.0*,8*
2020,CD,406,6,Rego Park and Forest Hills (CD6),4.0*,5*
2020,CD,407,6,Flushing and Whitestone (CD7),1.2*,4*
2020,CD,408,6,Hillcrest and Fresh Meadows (CD8),2.7*,6*
2020,CD,409,6,Kew Gardens and Woodhaven (CD9),3.2*,8*
2020,CD,410,6,South Ozone Park and Howard Beach (CD10),7.8,16
2020,CD,411,6,Bayside and Little Neck (CD11),1.7*,3*
2020,CD,412,6,Jamaica and Hollis (CD12),7.4,27
2020,CD,413,6,Queens Village (CD13),5.4,15
2020,CD,414,6,Rockaway and Broad Channel (CD14),6.2,13
2020,CD,501,6,St. George and Stapleton (CD1),7.6,25
2020,CD,502,6,South Beach and Willowbrook (CD2),3.3*,7*
2020,CD,503,6,Tottenville and Great Kills (CD3),0.4*,1*
2020,UHF42,101,4,Kingsbridge - Riverdale,8.8,11
