TimePeriod,GeoType,GeoID,GeoRank,Geography,"Estimated annual rate per 10,000",Number
2020,UHF42,102,4,Northeast Bronx,13.2,44
2020,UHF42,103,4,Fordham - Bronx Pk,16.9,84
2020,UHF42,104,4,Pelham - Throgs Neck,11.8,62
2020,UHF42,105,4,Crotona - Tremont,13.8,60
2020,UHF42,106,4,High Bridge - Morrisania,19.1,82
2020,UHF42,107,4,Hunts Point - Mott Haven,22.2,63
2020,UHF42,201,4,Greenpoint,2.7*,6*
2020,UHF42,202,4,Downtown - Heights - Slope,5.5,17
2020,UHF42,203,4,Bedford Stuyvesant - Crown Heights,16.6,85
2020,UHF42,204,4,East New York,21.8,82
2020,UHF42,205,4,Sunset Park,4.8*,9*
2020,UHF42,206,4,Borough Park,1.5,11
2020,UHF42,207,4,East Flatbush - Flatbush,10.5,47
2020,UHF42,208,4,Canarsie - Flatlands,5.4,18
2020,UHF42,209,4,Bensonhurst - Bay Ridge,1.9*,6*
2020,UHF42,210,4,Coney Island - Sheepshead Bay,4.2,19
2020,UHF42,211,4,Williamsburg - Bushwick,5.8,23
2020,UHF42,301,4,Washington Heights,10.0,34
2020,UHF42,302,4,Central Harlem - Morningside Heights,19.3,49
2020,UHF42,303,4,East Harlem,20.8,35
2020,UHF42,304,4,Upper West Side,3.1*,7*
2020,UHF42,305,4,Upper East Side,0.9*,2*
2020,UHF42,306,4,Chelsea - Clinton,7.2*,6*
2020,UHF42,307,4,Gramercy Park - Murray Hill,7.4*,5*
2020,UHF42,308,4,Greenwich Village - SoHo,1.6*,1*
2020,UHF42,309,4,Union Square - Lower East Side,3.1*,5*
2020,UHF42,310,4,Lower Manhattan,2.1*,1*
2020,UHF42,401,4,Long Island City - Astoria,2.3*,5*
2020,UHF42,402,4,West Queens,3.8,25
2020,UHF42,403,4,Flushing - Clearview,1.3*,4*
2020,UHF42,404,4,Bayside - Little Neck,2.2*,3*
2020,UHF42,405,4,Ridgewood - Forest Hills,3.3,12
2020,UHF42,406,4,Fresh Meadows,3.3*,5*
2020,UHF42,407,4,Southwest Queens,5.0,24
2020,UHF42,408,4,Jamaica,5.9,29
2020,UHF42,409,4,Southeast Queens,4.5,14
2020,UHF42,410,4,Rockaways,5.3,13
2020,UHF42,501,4,Port Richmond,8.5,12
2020,UHF42,502,4,Stapleton - St. George,7.6,15
2020,UHF42,503,4,Willowbrook,2.1*,3*
2020,UHF42,504,4,South Beach - Tottenville,0.9*,3*
2020,Borough,1,1,Bronx,15.9,415
2020,Borough,2,1,Brooklyn,7.6,325
2020,Borough,3,1,Manhattan,9.0,148
2020,Borough,4,1,Queens,4.0,135
2020,Borough,5,1,Staten Island,4.1,33
2020,Citywide,1,0,New York City,8.3,"1,056"
2019,CD,101,6,Financial District (CD1),2.0*,1*
2019,CD,102,6,Greenwich Village and Soho (CD2),1.8*,1*
2019,CD,103,6,Lower East Side and Chinatown (CD3),12.8,21
2019,CD,104,6,Clinton and Chelsea (CD4),16.4,13
2019,CD,105,6,Midtown (CD5),11.9*,3*
2019,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),10.9*,8*
2019,CD,107,6,Upper West Side (CD7),7.0,15
2019,CD,108,6,Upper East Side (CD8),2.2*,5*
2019,CD,109,6,Morningside Heights and Hamilton Heights (CD9),16.1,21
2019,CD,110,6,Central Harlem (CD10),43.8,75
2019,CD,111,6,East Harlem (CD11),42.4,79
2019,CD,112,6,Washington Heights and Inwood (CD12),23.4,58
2019,CD,201,6,Mott Haven and Melrose (CD1),55.9,112
2019,CD,202,6,Hunts Point and Longwood (CD2),30.6,34
2019,CD,203,6,Morrisania and Crotona (CD3),44.5,86
2019,CD,204,6,Highbridge and Concourse (CD4),27.3,81
2019,CD,205,6,Fordham and University Heights (CD5),28.0,75
2019,CD,206,6,Belmont and East Tremont (CD6),34.1,62
2019,CD,207,6,Kingsbridge Heights and Bedford (CD7),36.8,98
2019,CD,208,6,Riverdale and Fieldston (CD8),29.5,42
2019,CD,209,6,Parkchester and Soundview (CD9),27.1,89
2019,CD,210,6,Throgs Neck and Co-op City (CD10),24.2,43
2019,CD,211,6,Morris Park and Bronxdale (CD11),19.7,37
2019,CD,212,6,Williamsbridge and Baychester (CD12),41.5,114
2019,CD,301,6,Greenpoint and Williamsburg (CD1),10.5,33
2019,CD,302,6,Fort Greene and Brooklyn Heights (CD2),19.3,23
2019,CD,303,6,Bedford Stuyvesant (CD3),25.9,63
2019,CD,304,6,Bushwick (CD4),16.8,31
2019,CD,305,6,East New York and Starrett City (CD5),43.0,143
2019,CD,306,6,Park Slope and Carroll Gardens (CD6),14.6,18
2019,CD,307,6,Sunset Park (CD7),6.3,12
2019,CD,308,6,Crown Heights and Prospect Heights (CD8),39.9,50
2019,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),21.1,30
2019,CD,310,6,Bay Ridge and Dyker Heights (CD10),4.5*,9*
2019,CD,311,6,Bensonhurst (CD11),4.3,13
2019,CD,312,6,Borough Park (CD12),3.1,15
2019,CD,313,6,Coney Island (CD13),19.0,27
2019,CD,314,6,Flatbush and Midwood (CD14),7.4,21
2019,CD,315,6,Sheepshead Bay (CD15),7.4,20
2019,CD,316,6,Brownsville (CD16),47.6,76
2019,CD,317,6,East Flatbush (CD17),40.9,87
2019,CD,318,6,Flatlands and Canarsie (CD18),21.9,70
2019,CD,401,6,Long Island City and Astoria (CD1),9.1,20
2019,CD,402,6,Woodside and Sunnyside (CD2),4.5*,8*
2019,CD,403,6,Jackson Heights (CD3),14.5,38
2019,CD,404,6,Elmhurst and Corona (CD4),13.4,36
2019,CD,405,6,Ridgewood and Maspeth (CD5),13.9,36
2019,CD,406,6,Rego Park and Forest Hills (CD6),6.7*,8*
2019,CD,407,6,Flushing and Whitestone (CD7),12.6,39
2019,CD,408,6,Hillcrest and Fresh Meadows (CD8),13.9,30
2019,CD,409,6,Kew Gardens and Woodhaven (CD9),14.6,36
2019,CD,410,6,South Ozone Park and Howard Beach (CD10),12.0,24
2019,CD,411,6,Bayside and Little Neck (CD11),3.5*,6*
2019,CD,412,6,Jamaica and Hollis (CD12),21.7,78
2019,CD,413,6,Queens Village (CD13),14.6,40
2019,CD,414,6,Rockaway and Broad Channel (CD14),12.7,26
2019,CD,501,6,St. George and Stapleton (CD1),21.3,70
2019,CD,502,6,South Beach and Willowbrook (CD2),6.2,13
2019,CD,503,6,Tottenville and Great Kills (CD3),4.2,11
2019,UHF42,101,4,Kingsbridge - Riverdale,16.9,21
2019,UHF42,102,4,Northeast Bronx,30.0,100
2019,UHF42,103,4,Fordham - Bronx Pk,40.7,201
2019,UHF42,104,4,Pelham - Throgs Neck,24.9,129
2019,UHF42,105,4,Crotona - Tremont,31.0,137
2019,UHF42,106,4,High Bridge - Morrisania,34.4,149
2019,UHF42,107,4,Hunts Point - Mott Haven,47.4,136
2019,UHF42,201,4,Greenpoint,8.9,19
2019,UHF42,202,4,Downtown - Heights - Slope,14.6,43
2019,UHF42,203,4,Bedford Stuyvesant - Crown Heights,35.8,179
2019,UHF42,204,4,East New York,40.4,147
2019,UHF42,205,4,Sunset Park,6.9,13
2019,UHF42,206,4,Borough Park,3.9,27
2019,UHF42,207,4,East Flatbush - Flatbush,23.3,103
2019,UHF42,208,4,Canarsie - Flatlands,22.5,74
2019,UHF42,209,4,Bensonhurst - Bay Ridge,3.9,12
2019,UHF42,210,4,Coney Island - Sheepshead Bay,11.2,49
2019,UHF42,211,4,Williamsburg - Bushwick,19.6,75
2019,UHF42,301,4,Washington Heights,20.1,68
2019,UHF42,302,4,Central Harlem - Morningside Heights,37.2,94
2019,UHF42,303,4,East Harlem,42.0,71
2019,UHF42,304,4,Upper West Side,6.9,15
2019,UHF42,305,4,Upper East Side,2.3*,5*
2019,UHF42,306,4,Chelsea - Clinton,19.1,16
2019,UHF42,307,4,Gramercy Park - Murray Hill,9.3*,6*
2019,UHF42,308,4,Greenwich Village - SoHo,1.6*,1*
2019,UHF42,309,4,Union Square - Lower East Side,13.2,21
2019,UHF42,310,4,Lower Manhattan,6.2*,3*
2019,UHF42,401,4,Long Island City - Astoria,7.6,16
2019,UHF42,402,4,West Queens,14.0,91
2019,UHF42,403,4,Flushing - Clearview,12.1,37
2019,UHF42,404,4,Bayside - Little Neck,3.9*,5*
2019,UHF42,405,4,Ridgewood - Forest Hills,10.9,39
2019,UHF42,406,4,Fresh Meadows,16.1,24
2019,UHF42,407,4,Southwest Queens,12.7,60
2019,UHF42,408,4,Jamaica,17.5,84
2019,UHF42,409,4,Southeast Queens,13.9,43
2019,UHF42,410,4,Rockaways,11.0,26
2019,UHF42,501,4,Port Richmond,25.5,36
2019,UHF42,502,4,Stapleton - St. George,16.6,33
2019,UHF42,503,4,Willowbrook,7.0*,10*
2019,UHF42,504,4,South Beach - Tottenville,4.7,15
2019,Borough,1,1,Bronx,33.8,883
2019,Borough,2,1,Brooklyn,18.2,753
2019,Borough,3,1,Manhattan,18.6,306
2019,Borough,4,1,Queens,13.2,433
2019,Borough,5,1,Staten Island,12.0,96
2019,Citywide,1,0,New York City,19.8,"2,471"
2018,UHF42,101,4,Kingsbridge - Riverdale,21.4,25
2018,UHF42,102,4,Northeast Bronx,35.1,111
2018,UHF42,103,4,Fordham - Bronx Pk,42.5,201
2018,UHF42,104,4,Pelham - Throgs Neck,37.5,186
2018,UHF42,105,4,Crotona - Tremont,42.4,178
2018,UHF42,106,4,High Bridge - Morrisania,40.5,170
2018,UHF42,107,4,Hunts Point - Mott Haven,52.7,146
2018,UHF42,201,4,Greenpoint,5.6,11
2018,UHF42,202,4,Downtown - Heights - Slope,14.7,41
2018,UHF42,203,4,Bedford Stuyvesant - Crown Heights,43.2,205
2018,UHF42,204,4,East New York,45.9,159
2018,UHF42,205,4,Sunset Park,8.8,16
2018,UHF42,206,4,Borough Park,4.0,26
2018,UHF42,207,4,East Flatbush - Flatbush,38.3,165
2018,UHF42,208,4,Canarsie - Flatlands,23.8,76
2018,UHF42,209,4,Bensonhurst - Bay Ridge,4.5,13
2018,UHF42,210,4,Coney Island - Sheepshead Bay,14.2,59
2018,UHF42,211,4,Williamsburg - Bushwick,26.8,98
2018,UHF42,301,4,Washington Heights,33.8,111
2018,UHF42,302,4,Central Harlem - Morningside Heights,54.6,131
2018,UHF42,303,4,East Harlem,52.2,86
2018,UHF42,304,4,Upper West Side,8.2,17
2018,UHF42,305,4,Upper East Side,6.4,13
2018,UHF42,306,4,Chelsea - Clinton,16.8,13
2018,UHF42,307,4,Gramercy Park - Murray Hill,10.3*,6*
2018,UHF42,308,4,Greenwich Village - SoHo,**,**
2018,UHF42,309,4,Union Square - Lower East Side,12.6,19
2018,UHF42,310,4,Lower Manhattan,**,**
2018,UHF42,401,4,Long Island City - Astoria,11.3,24
2018,UHF42,402,4,West Queens,18.2,113
2018,UHF42,403,4,Flushing - Clearview,14.6,42
2018,UHF42,404,4,Bayside - Little Neck,**,**
2018,UHF42,405,4,Ridgewood - Forest Hills,16.4,55
2018,UHF42,406,4,Fresh Meadows,17.7,25
2018,UHF42,407,4,Southwest Queens,13.3,60
2018,UHF42,408,4,Jamaica,20.8,96
2018,UHF42,409,4,Southeast Queens,15.9,47
2018,UHF42,410,4,Rockaways,21.2,47
2018,UHF42,501,4,Port Richmond,25.8,34
2018,UHF42,502,4,Stapleton - St. George,29.9,57
2018,UHF42,503,4,Willowbrook,7.4*,10*
2018,UHF42,504,4,South Beach - Tottenville,5.3,16
2018,Borough,1,1,Bronx,41.6,"1,042"
2018,Borough,2,1,Brooklyn,22.4,887
2018,Borough,3,1,Manhattan,26.5,412
2018,Borough,4,1,Queens,16.7,524
2018,Borough,5,1,Staten Island,15.7,119
2018,Citywide,1,0,New York City,25.1,"2,984"
2017,UHF42,101,4,Kingsbridge - Riverdale,20.9,26
2017,UHF42,102,4,Northeast Bronx,37.2,126
2017,UHF42,103,4,Fordham - Bronx Pk,43.3,216
2017,UHF42,104,4,Pelham - Throgs Neck,32.7,170
2017,UHF42,105,4,Crotona - Tremont,38.0,170
2017,UHF42,106,4,High Bridge - Morrisania,38.1,167
2017,UHF42,107,4,Hunts Point - Mott Haven,58.2,169
2017,UHF42,201,4,Greenpoint,3.8*,8*
2017,UHF42,202,4,Downtown - Heights - Slope,15.7,46
2017,UHF42,203,4,Bedford Stuyvesant - Crown Heights,42.9,220
2017,UHF42,204,4,East New York,42.7,160
2017,UHF42,205,4,Sunset Park,6.9,13
2017,UHF42,206,4,Borough Park,2.7,18
2017,UHF42,207,4,East Flatbush - Flatbush,25.0,113
2017,UHF42,208,4,Canarsie - Flatlands,21.6,73
2017,UHF42,209,4,Bensonhurst - Bay Ridge,1.7*,5*
2017,UHF42,210,4,Coney Island - Sheepshead Bay,9.0,39
2017,UHF42,211,4,Williamsburg - Bushwick,24.8,96
2017,UHF42,301,4,Washington Heights,30.1,103
2017,UHF42,302,4,Central Harlem - Morningside Heights,56.0,142
2017,UHF42,303,4,East Harlem,38.9,66
2017,UHF42,304,4,Upper West Side,8.0,17
2017,UHF42,305,4,Upper East Side,3.3*,7*
2017,UHF42,306,4,Chelsea - Clinton,11.0*,9*
2017,UHF42,307,4,Gramercy Park - Murray Hill,11.1*,7*
2017,UHF42,308,4,Greenwich Village - SoHo,5.0*,3*
2017,UHF42,309,4,Union Square - Lower East Side,15.3,24
2017,UHF42,310,4,Lower Manhattan,4.3*,2*
2017,UHF42,401,4,Long Island City - Astoria,5.7,12
2017,UHF42,402,4,West Queens,12.2,79
2017,UHF42,403,4,Flushing - Clearview,9.9,30
2017,UHF42,404,4,Bayside - Little Neck,2.4*,3*
2017,UHF42,405,4,Ridgewood - Forest Hills,13.1,47
2017,UHF42,406,4,Fresh Meadows,14.1,21
2017,UHF42,407,4,Southwest Queens,14.2,67
2017,UHF42,408,4,Jamaica,18.6,91
2017,UHF42,409,4,Southeast Queens,17.7,56
2017,UHF42,410,4,Rockaways,11.6,28
2017,UHF42,501,4,Port Richmond,27.6,39
2017,UHF42,502,4,Stapleton - St. George,18.8,37
2017,UHF42,503,4,Willowbrook,2.2*,3*
2017,UHF42,504,4,South Beach - Tottenville,5.0,16
2017,Borough,1,1,Bronx,40.1,"1,060"
2017,Borough,2,1,Brooklyn,19.2,800
2017,Borough,3,1,Manhattan,24.0,390
2017,Borough,4,1,Queens,13.2,437
2017,Borough,5,1,Staten Island,12.0,96
2017,Citywide,1,0,New York City,22.2,"2,783"
2016,UHF42,101,4,Kingsbridge - Riverdale,23.2,28
2016,UHF42,102,4,Northeast Bronx,42.4,139
2016,UHF42,103,4,Fordham - Bronx Pk,63.6,297
2016,UHF42,104,4,Pelham - Throgs Neck,42.7,222
2016,UHF42,105,4,Crotona - Tremont,47.8,211
2016,UHF42,106,4,High Bridge - Morrisania,63.7,278
2016,UHF42,107,4,Hunts Point - Mott Haven,56.5,165
2016,UHF42,201,4,Greenpoint,5.5,11
2016,UHF42,202,4,Downtown - Heights - Slope,19.5,55
2016,UHF42,203,4,Bedford Stuyvesant - Crown Heights,48.4,244
2016,UHF42,204,4,East New York,52.0,185
2016,UHF42,205,4,Sunset Park,7.4,15
2016,UHF42,206,4,Borough Park,4.5,31
2016,UHF42,207,4,East Flatbush - Flatbush,41.4,186
2016,UHF42,208,4,Canarsie - Flatlands,24.8,81
2016,UHF42,209,4,Bensonhurst - Bay Ridge,5.8,17
2016,UHF42,210,4,Coney Island - Sheepshead Bay,9.6,39
2016,UHF42,211,4,Williamsburg - Bushwick,33.0,126
2016,UHF42,301,4,Washington Heights,32.4,111
2016,UHF42,302,4,Central Harlem - Morningside Heights,62.0,146
2016,UHF42,303,4,East Harlem,52.6,87
2016,UHF42,304,4,Upper West Side,7.2,15
2016,UHF42,305,4,Upper East Side,7.2,15
2016,UHF42,306,4,Chelsea - Clinton,10.5*,**
2016,UHF42,307,4,Gramercy Park - Murray Hill,13.7*,**
2016,UHF42,308,4,Greenwich Village - SoHo,1.8*,**
2016,UHF42,309,4,Union Square - Lower East Side,24.3,40
2016,UHF42,310,4,Lower Manhattan,20.4*,**
2016,UHF42,401,4,Long Island City - Astoria,10.3,23
2016,UHF42,402,4,West Queens,14.9,99
2016,UHF42,403,4,Flushing - Clearview,12.5,39
2016,UHF42,404,4,Bayside - Little Neck,3.1*,**
2016,UHF42,405,4,Ridgewood - Forest Hills,14.0,46
2016,UHF42,406,4,Fresh Meadows,15.7,23
2016,UHF42,407,4,Southwest Queens,12.8,61
2016,UHF42,408,4,Jamaica,25.0,121
2016,UHF42,409,4,Southeast Queens,17.2,53
2016,UHF42,410,4,Rockaways,17.1,37
2016,UHF42,501,4,Port Richmond,36.6,49
2016,UHF42,502,4,Stapleton - St. George,15.5,31
2016,UHF42,503,4,Willowbrook,3.8*,**
2016,UHF42,504,4,South Beach - Tottenville,3.9,12
2016,Borough,1,1,Bronx,51.1,"1,340"
2016,Borough,2,1,Brooklyn,24.1,990
2016,Borough,3,1,Manhattan,27.9,440
2016,Borough,4,1,Queens,15.4,506
2016,Borough,5,1,Staten Island,12.4,97
2016,Citywide,1,0,New York City,27.2,"3,373"
2015,UHF42,101,4,Kingsbridge - Riverdale,24.1,29
2015,UHF42,102,4,Northeast Bronx,48.8,160
2015,UHF42,103,4,Fordham - Bronx Pk,61.9,288
2015,UHF42,104,4,Pelham - Throgs Neck,51.1,265
2015,UHF42,105,4,Crotona - Tremont,50.3,221
2015,UHF42,106,4,High Bridge - Morrisania,65.2,284
2015,UHF42,107,4,Hunts Point - Mott Haven,73.1,213
2015,UHF42,201,4,Greenpoint,5.6,11
2015,UHF42,202,4,Downtown - Heights - Slope,20.5,57
2015,UHF42,203,4,Bedford Stuyvesant - Crown Heights,49.4,252
2015,UHF42,204,4,East New York,43.4,156
2015,UHF42,205,4,Sunset Park,10.0,20
2015,UHF42,206,4,Borough Park,3.2,22
2015,UHF42,207,4,East Flatbush - Flatbush,45.8,208
2015,UHF42,208,4,Canarsie - Flatlands,25.7,85
2015,UHF42,209,4,Bensonhurst - Bay Ridge,4.8,14
2015,UHF42,210,4,Coney Island - Sheepshead Bay,8.2,33
2015,UHF42,211,4,Williamsburg - Bushwick,32.1,123
2015,UHF42,301,4,Washington Heights,26.9,92
2015,UHF42,302,4,Central Harlem - Morningside Heights,46.9,111
2015,UHF42,303,4,East Harlem,66.5,110
2015,UHF42,304,4,Upper West Side,8.7,18
2015,UHF42,305,4,Upper East Side,9.7,20
2015,UHF42,306,4,Chelsea - Clinton,14.8,11
2015,UHF42,307,4,Gramercy Park - Murray Hill,7.0*,**
2015,UHF42,308,4,Greenwich Village - SoHo,5.5*,**
2015,UHF42,309,4,Union Square - Lower East Side,21.5,35
2015,UHF42,310,4,Lower Manhattan,11.6*,**
2015,UHF42,401,4,Long Island City - Astoria,11.3,25
2015,UHF42,402,4,West Queens,14.0,92
2015,UHF42,403,4,Flushing - Clearview,10.7,33
2015,UHF42,404,4,Bayside - Little Neck,8.6,11
2015,UHF42,405,4,Ridgewood - Forest Hills,12.0,39
2015,UHF42,406,4,Fresh Meadows,20.0,29
2015,UHF42,407,4,Southwest Queens,16.7,79
2015,UHF42,408,4,Jamaica,24.4,118
2015,UHF42,409,4,Southeast Queens,18.5,57
2015,UHF42,410,4,Rockaways,21.3,46
2015,UHF42,501,4,Port Richmond,27.9,37
2015,UHF42,502,4,Stapleton - St. George,15.6,31
2015,UHF42,503,4,Willowbrook,5.4*,**
2015,UHF42,504,4,South Beach - Tottenville,8.7,27
2015,Borough,1,1,Bronx,57.6,"1,489"
2015,Borough,2,1,Brooklyn,24.3,994
2015,Borough,3,1,Manhattan,26.8,421
2015,Borough,4,1,Queens,16.6,540
2015,Borough,5,1,Staten Island,13.4,103
2015,Citywide,1,0,New York City,28.9,"3,547"
2014,UHF42,101,4,Kingsbridge - Riverdale,38.5,46
2014,UHF42,102,4,Northeast Bronx,56.6,186
2014,UHF42,103,4,Fordham - Bronx Pk,74.5,345
2014,UHF42,104,4,Pelham - Throgs Neck,48.9,252
2014,UHF42,105,4,Crotona - Tremont,67.6,296
2014,UHF42,106,4,High Bridge - Morrisania,69.3,301
2014,UHF42,107,4,Hunts Point - Mott Haven,82.0,238
2014,UHF42,201,4,Greenpoint,10.9,21
2014,UHF42,202,4,Downtown - Heights - Slope,20.1,55
2014,UHF42,203,4,Bedford Stuyvesant - Crown Heights,59.9,311
2014,UHF42,204,4,East New York,51.5,188
2014,UHF42,205,4,Sunset Park,12.0,24
2014,UHF42,206,4,Borough Park,5.3,36
2014,UHF42,207,4,East Flatbush - Flatbush,49.7,229
2014,UHF42,208,4,Canarsie - Flatlands,20.8,70
2014,UHF42,209,4,Bensonhurst - Bay Ridge,2.4*,**
2014,UHF42,210,4,Coney Island - Sheepshead Bay,9.5,38
2014,UHF42,211,4,Williamsburg - Bushwick,40.7,157
2014,UHF42,301,4,Washington Heights,32.8,112
2014,UHF42,302,4,Central Harlem - Morningside Heights,51.0,121
2014,UHF42,303,4,East Harlem,66.4,110
2014,UHF42,304,4,Upper West Side,13.8,28
2014,UHF42,305,4,Upper East Side,10.8,22
2014,UHF42,306,4,Chelsea - Clinton,27.3,20
2014,UHF42,307,4,Gramercy Park - Murray Hill,14.2*,**
2014,UHF42,308,4,Greenwich Village - SoHo,7.4*,**
2014,UHF42,309,4,Union Square - Lower East Side,19.3,31
2014,UHF42,310,4,Lower Manhattan,19.0*,**
2014,UHF42,401,4,Long Island City - Astoria,22.8,50
2014,UHF42,402,4,West Queens,19.8,129
2014,UHF42,403,4,Flushing - Clearview,9.5,29
2014,UHF42,404,4,Bayside - Little Neck,10.2,13
2014,UHF42,405,4,Ridgewood - Forest Hills,13.5,44
2014,UHF42,406,4,Fresh Meadows,9.7,14
2014,UHF42,407,4,Southwest Queens,21.2,100
2014,UHF42,408,4,Jamaica,25.3,123
2014,UHF42,409,4,Southeast Queens,31.9,99
2014,UHF42,410,4,Rockaways,23.0,50
2014,UHF42,501,4,Port Richmond,32.3,43
2014,UHF42,502,4,Stapleton - St. George,22.1,44
2014,UHF42,503,4,Willowbrook,6.1*,**
2014,UHF42,504,4,South Beach - Tottenville,6.1,19
2014,Borough,1,1,Bronx,65.6,"1,691"
2014,Borough,2,1,Brooklyn,28.2,"1,155"
2014,Borough,3,1,Manhattan,30.9,482
2014,Borough,4,1,Queens,20.4,663
2014,Borough,5,1,Staten Island,14.8,115
2014,Citywide,1,0,New York City,33.5,"4,106"
2013,UHF42,101,4,Kingsbridge - Riverdale,38.3,46
2013,UHF42,102,4,Northeast Bronx,52.0,172
2013,UHF42,103,4,Fordham - Bronx Pk,64.0,298
2013,UHF42,104,4,Pelham - Throgs Neck,46.0,238
2013,UHF42,105,4,Crotona - Tremont,63.9,282
2013,UHF42,106,4,High Bridge - Morrisania,64.9,284
2013,UHF42,107,4,Hunts Point - Mott Haven,82.1,240
2013,UHF42,201,4,Greenpoint,6.4,12
2013,UHF42,202,4,Downtown - Heights - Slope,22.9,62
2013,UHF42,203,4,Bedford Stuyvesant - Crown Heights,54.1,286
2013,UHF42,204,4,East New York,48.5,180
2013,UHF42,205,4,Sunset Park,19.1,38
2013,UHF42,206,4,Borough Park,4.4,29
2013,UHF42,207,4,East Flatbush - Flatbush,41.8,196
